rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:3Wrjm47oTz2sjIgck11l5e,Maneskin,Beggin,RCA Records Label,1,1,6,52160401
2,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,2,9,46014325
3,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY with Justin Bieber,Columbia,3,-1,1,43686697
4,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,3,3,3,38474834
5,spotify:track:0LThjFY2iTtNdd4wviwVV2,BTS,Permission to Dance,BIGHIT MUSIC,5,-1,1,38023318
6,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO Call Me By Your Name,Columbia,1,4,16,31022231
7,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin,2,5,8,30362018
8,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,6,6,30341022
9,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,BIGHIT MUSIC,2,13,8,30256738
10,spotify:track:3DarAbFujv6eYNliUTyqtz,Doja Cat,Kiss Me More feat SZA,RCA Records Label,3,7,14,29716970
11,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Maneskin,I WANNA BE YOUR SLAVE,RCA Records Label,8,8,8,26456463
12,spotify:track:6hf0RpxTbOprT5nnwzkk8e,J Balvin,Que Mas Pues,"Sueños Globales, LLC",9,9,7,25246454
13,spotify:track:5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating feat DaBaby,Warner Records,4,10,41,24484411
14,spotify:track:4iJyoBOLtHqaGxP12qzhQI,Justin Bieber,Peaches feat Daniel Caesar and Giveon,Def Jam,1,11,17,22373591
15,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,12,15,21726135
16,spotify:track:05bfbizlM5AX6Mf1RRyMho,Nio Garcia,AM Remix,Flow La Movie,14,14,3,21373551
17,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,15,8,20546322
18,spotify:track:40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,Republic Records,18,-1,1,20518441
19,spotify:track:6uqyE384HDSsuwpoF4mjrL,Billie Eilish,NDA,Interscope Records,19,-1,1,19622725
